2025-07-31 06:28:01 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/JPY | Direction: CALL | Confidence: 88.5% | Entry: 197.96223368292658 | Expiration: 15min | Risk: LOW | ID: GBP/JPY_1753943281
2025-07-31 06:28:44 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: USD/JPY | Direction: CALL | Confidence: 87.6% | Entry: 148.98612492901157 | Expiration: 18min | Risk: LOW | ID: USD/JPY_1753943324
2025-07-31 06:37:45 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: USD/JPY | Direction: CALL | Confidence: 85.7% | Entry: 149.01049062498385 | Expiration: 1min | Risk: LOW | ID: USD/JPY_1753943865
2025-07-31 06:42:11 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: PUT | Confidence: 71.5% | Entry: 1.1500140468355526 | Expiration: 1min | Risk: LOW | ID: EUR/USD_1753944131
2025-07-31 06:48:21 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: CALL | Confidence: 65% | Entry: 1.1500101676075296 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753944501
2025-07-31 06:50:02 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: PUT | Confidence: 65% | Entry: 1.1500338844339464 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753944602
2025-07-31 06:51:52 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/JPY | Direction: CALL | Confidence: 93.4% | Entry: 197.9655675487123 | Expiration: 1min | Risk: LOW | ID: GBP/JPY_1753944712
2025-07-31 06:52:29 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: CAD/JPY | Direction: CALL | Confidence: 88.9% | Entry: 107.90813452549591 | Expiration: 1min | Risk: LOW | ID: CAD/JPY_1753944749
2025-07-31 06:53:09 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: CAD/JPY | Direction: CALL | Confidence: 92.4% | Entry: 107.9042954340187 | Expiration: 1min | Risk: LOW | ID: CAD/JPY_1753944789
2025-07-31 06:56:07 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/JPY | Direction: CALL | Confidence: 85.4% | Entry: 170.78466223029523 | Expiration: 1min | Risk: LOW | ID: EUR/JPY_1753944967
2025-07-31 06:56:18 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/JPY | Direction: CALL | Confidence: 94.7% | Entry: 170.8014791743983 | Expiration: 1min | Risk: LOW | ID: EUR/JPY_1753944978
2025-07-31 06:57:39 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/JPY | Direction: CALL | Confidence: 86.4% | Entry: 170.80469862297886 | Expiration: 1min | Risk: LOW | ID: EUR/JPY_1753945059
2025-07-31 06:59:40 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/JPY | Direction: CALL | Confidence: 91.6% | Entry: 170.77841099811565 | Expiration: 1min | Risk: LOW | ID: EUR/JPY_1753945180
2025-07-31 07:00:23 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: CALL | Confidence: 65% | Entry: 1.1500802627930136 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753945223
2025-07-31 07:02:13 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: AUD/USD | Direction: PUT | Confidence: 65% | Entry: 0.6459929074142309 | Expiration: 1min | Risk: MEDIUM | ID: AUD/USD_1753945333
2025-07-31 07:02:46 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: PUT | Confidence: 65% | Entry: 1.150057728430957 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753945366
2025-07-31 07:04:03 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: PUT | Confidence: 66.3% | Entry: 1.1499636296449605 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753945443
2025-07-31 07:05:29 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: PUT | Confidence: 65% | Entry: 1.1499261959222442 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753945529
2025-07-31 07:07:08 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: PUT | Confidence: 65% | Entry: 1.1500891772882391 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753945628
2025-07-31 07:08:28 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: PUT | Confidence: 65% | Entry: 1.1498955230835064 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753945708
2025-07-31 07:10:48 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: EUR/USD | Direction: CALL | Confidence: 65% | Entry: 1.150062033838952 | Expiration: 1min | Risk: MEDIUM | ID: EUR/USD_1753945848
2025-07-31 07:11:45 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: CALL | Confidence: 65% | Entry: 1.3300282332851707 | Expiration: 1min | Risk: MEDIUM | ID: GBP/USD_1753945905
2025-07-31 07:13:31 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 65% | Entry: 1.3299780357717488 | Expiration: 1min | Risk: MEDIUM | ID: GBP/USD_1753946011
2025-07-31 07:14:58 - signals - INFO - [logger.py:159] - SIGNAL_GENERATED | Pair: GBP/USD | Direction: PUT | Confidence: 76.0% | Entry: 1.3300315623925718 | Expiration: 5min | Risk: LOW | ID: GBP/USD_1753946098
